id_station_itinerance,consolidated_longitude,consolidated_latitude,nbre_pdc,puissance_nominale
FRSIGPSIGE10511,2.517099,48.91367,2,22000
FRSIGPSIGE8841,2.308363,48.900249,1,7000
FRSIGPSIGE9111,2.310159,48.968482,2,22000
FRSIGPSIGE8951,2.317644,48.902349,1,7000
FRSIGPSIGE9211,2.215126,48.857159,2,22000
FRSIGPSIGE8751,2.2987,48.901286,1,7000
FRSIGPSIGE10222,2.163266,48.806434,2,22000
FRSIGPSIGE10011,2.217007,48.850512,2,22000
FRSIGPSIGE10112,2.171623,48.802012,2,24000
FRSIGPSIGE9812,2.164518,48.840307,2,22000
FRSIGPSIGE9311,2.532549,48.801016,2,22000
FRSIGPSIGE9712,2.185283,48.805695,2,22000
FRSIGPSIGE9512,2.531936,48.798856,2,22000
FRSIGPSIGE9412,2.545659,48.799648,2,22000
FRSIGPSIGE13211,2.240595,48.80806,2,22000
FRSIGPSIGE3011,2.234801,48.807732,1,7000
FRSIGPSIGE2941,2.237844,48.812485,1,7000
FRSIGPSIGE2712,2.17596,48.90592,2,22000
FRSIGPSIGE2612,2.189425,48.82634,2,22000
FRSIGPSIGE2512,2.35707,48.81287,2,22000
FRSIGPSIGE2412,2.05212,48.80807,2,22000
FRSIGPSIGE2312,2.177236,48.912132,2,22000
FRSIGPSIGE2212,2.17895,48.90953,2,22000
FRSIGPSIGE2112,2.131865,48.84512,2,22000
FRSIGPSIGE3231,2.213824,48.814263,1,7000
FRSIGPSIGE3351,2.165078,48.818204,1,7000
FRSIGPSIGE3161,2.227086,48.787468,1,7000
FRSIGPSIGE2012,2.15031,48.848957,2,22000
FRSIGPSIGE1912,2.290181,48.82598,2,22000
FRSIGPSIGE112,2.220406,48.85466,2,22000
FRSIGPSIGE512,2.207385,48.843157,2,22000
FRSIGPSIGE412,2.215528,48.855042,2,22000
FRSIGPSIGE312,2.207391,48.847778,2,22000
FRSIGPSIGE212,2.210997,48.857063,2,22000
FRSIGPSIGE612,2.212253,48.859722,2,22000
FRSIGPSIGE40511,2.23283,49.0022,2,22000
FRSIGPSIGE40611,2.23634,49.0019,2,22000
FRSIGPSIGE40711,2.2444,48.9976,2,22000
FRSIGPSIGE40811,2.22748,48.9843,1,7000
